maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,mse,mean_error,error_variance,mean_fees,top1pct_loss_share,max_abs_error,n_paths
63,1.0,reference,0,1,BS,0.9704113749761611,0.31813104356019634,0.8692040140994617,0.0,0.08753731906156947,2.3974999777625925,128
63,1.0,reference,0,1,Heston,1.36403622584736,0.4269760018018977,1.1817277197326257,0.0,0.07272843296559849,2.5409775287369225,128
63,1.0,reference,0,1,Adjusted,0.8351377867253177,0.21850910934318024,0.7873915558593677,0.0,0.09499377495140683,2.38928459762991,128
63,1.0,reference,0,5,BS,1.6603394366888344,0.39997531360104344,1.5003591851985814,0.0,0.09191400346411122,3.163005742397027,128
63,1.0,reference,0,5,Heston,2.168937121341424,0.5065135742396188,1.9123811204524301,0.0,0.0896257801648791,3.6378153036683014,128
63,1.0,reference,0,5,Adjusted,1.4390119372949026,0.3047996334505536,1.346109120743311,0.0,0.09557265185364018,3.1931878151248156,128
63,1.0,reference,5,1,BS,0.8902580585054716,0.1376807704308987,0.8713020639590257,0.17960060838446917,0.09493777600273828,2.475800061126419,128
63,1.0,reference,5,1,Heston,1.241439985042483,0.2444404828910631,1.181688835366467,0.18165962531578794,0.09004440976566848,2.7174174947165914,128
63,1.0,reference,5,1,Adjusted,0.8021974960042089,0.03865958047928759,0.8007029328413743,0.1790133651738712,0.09783194556149734,2.317001380402117,128
63,1.0,reference,5,5,BS,1.5695160792545384,0.2850010045260876,1.4882905066736594,0.11445666584879492,0.10549595734511073,3.2625413210762377,128
63,1.0,reference,5,5,Heston,2.042467904187925,0.3892751438234486,1.890932766589158,0.11669524358690314,0.09974158499677266,3.7429149788894645,128
63,1.0,reference,5,5,Adjusted,1.3837532971865156,0.19130407815522307,1.347156046867696,0.1129962196551331,0.10828917024099526,3.3528980428651636,128
63,1.0,reference,10,1,BS,0.8797837866514487,-0.04276950269839404,0.8779545562903809,0.35920121676893835,0.10245351154296163,2.6877015476434343,128
63,1.0,reference,10,1,Heston,1.1899358324733584,0.06190496398023379,1.1861036079079645,0.3633192506315759,0.10525189463956322,2.9365209575568763,128
63,1.0,reference,10,1,Adjusted,0.8388295350989662,-0.1411899483845968,0.8188949335741211,0.3580267303477424,0.10593835542796368,2.525465553372172,128
63,1.0,reference,10,5,BS,1.5066846571212076,0.17002669545112464,1.4777755799551782,0.22891333169758984,0.11887491522413184,3.4091254470000507,128
63,1.0,reference,10,5,Heston,1.9449013521452803,0.2720367134072838,1.8708973787038434,0.23339048717380628,0.10965875570726323,3.8480146541106204,128
63,1.0,reference,10,5,Adjusted,1.355980124440936,0.07780852285988152,1.3499259582112992,0.2259924393102662,0.1199891364372249,3.512608270605483,128
