day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
0,0.0,open,100.0,0.5230920166442279,4.618403328845416,0.0,0.5230920166442279,0.05230920166442279,0.05230920166442279,0.5230920166442279,-47.74310753724179,4.566094127180996,,
1,0.003968253968253968,rebalance,100.92780253957949,0.5546031469986562,-47.74310753724179,-0.0075788725195637995,0.03151113035442832,0.003180349142210691,0.05548955080663348,0.5546031469986562,-50.93421590111426,5.040661006995492,,
2,0.007936507936507936,rebalance,101.99705201605586,0.5919684720358215,-50.93421590111426,-0.00808543785922121,0.037365325037165276,0.0038111530014125813,0.059300703808046064,0.5919684720358215,-54.75726549338747,5.621773540715324,,
3,0.011904761904761904,rebalance,101.59852678384283,0.5802247306068773,-54.75726549338747,-0.008692319291754853,-0.011743741428944188,0.0011931468281111107,0.06049385063615718,0.5802247306068773,-53.57400413139622,5.375973701814587,,
4,0.015873015873015872,rebalance,102.9424421298094,0.6234047508220816,-53.57400413139622,-0.008504485120867216,0.043180020215204284,0.004445056732167667,0.06493890736832485,0.6234047508220816,-58.032010405416926,6.142797079533452,,
5,0.01984126984126984,rebalance,103.92341863059141,0.6623375601899144,-58.032010405416926,-0.009212161327655042,0.03893280936783283,0.004046030646398303,0.06898493801472315,0.6623375601899144,-62.09129924378928,6.74108429859173,,
6,0.023809523809523808,rebalance,104.96383384130615,0.7008881264307203,-62.09129924378928,-0.009856544029432767,0.038550566240805884,0.004046415229388216,0.07303135324411136,0.7008881264307203,-66.15161743243631,7.416287411582189,,
7,0.027777777777777776,rebalance,105.48595796872137,0.7187091967815524,-66.15161743243631,-0.01050109013311104,0.017821070350832136,0.001879872677985505,0.07491122592209687,0.7187091967815524,-68.0438710732329,7.76985705019942,,
8,0.031746031746031744,rebalance,106.50723500839628,0.7534130699128274,-68.0438710732329,-0.010801471693048067,0.03470387313127499,0.0036962135712942743,0.07860743949339115,0.7534130699128274,-71.75458232979152,8.489360565811282,,
9,0.03571428571428571,rebalance,104.87081076243584,0.6891304380999577,-71.75458232979152,-0.011390520228450395,-0.06428263181286975,0.006741371716158802,0.08534881120954996,0.6891304380999577,-65.03134250557733,7.238325259037836,,
