maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,batch,n_paths,difference
63,0.9,reference,10,1,Adjusted_minus_Heston,0,512,-0.17895540292277892
63,0.9,reference,10,1,Adjusted_minus_Heston,1,512,-0.1620273520234412
63,0.9,reference,10,1,Adjusted_minus_Heston,2,512,-0.17441376073378756
63,0.9,reference,10,1,Adjusted_minus_Heston,3,512,-0.21778501330681738
63,0.9,reference,10,1,Adjusted_minus_Heston,4,512,-0.13740834410998792
63,0.9,reference,10,1,Adjusted_minus_Heston,5,512,-0.12383655248071818
63,0.9,reference,10,1,Adjusted_minus_Heston,6,512,-0.06088337650884984
63,0.9,reference,10,1,Adjusted_minus_Heston,7,512,-0.11876496040027448
63,0.9,reference,10,5,Heston_minus_BS,0,512,0.1728475117591473
63,0.9,reference,10,5,Heston_minus_BS,1,512,0.14583099905827682
63,0.9,reference,10,5,Heston_minus_BS,2,512,0.1523809041305788
63,0.9,reference,10,5,Heston_minus_BS,3,512,0.20188743840111317
63,0.9,reference,10,5,Heston_minus_BS,4,512,0.1389372704763202
63,0.9,reference,10,5,Heston_minus_BS,5,512,0.11946045403605579
63,0.9,reference,10,5,Heston_minus_BS,6,512,0.07156095410404528
63,0.9,reference,10,5,Heston_minus_BS,7,512,0.13168863903975025
63,0.9,reference,10,5,Adjusted_minus_Heston,0,512,-0.20868794176573124
63,0.9,reference,10,5,Adjusted_minus_Heston,1,512,-0.16537675596796866
63,0.9,reference,10,5,Adjusted_minus_Heston,2,512,-0.17944767856412286
63,0.9,reference,10,5,Adjusted_minus_Heston,3,512,-0.25794169301508846
63,0.9,reference,10,5,Adjusted_minus_Heston,4,512,-0.15692729248487108
63,0.9,reference,10,5,Adjusted_minus_Heston,5,512,-0.12120298527189183
63,0.9,reference,10,5,Adjusted_minus_Heston,6,512,-0.03944343479929591
63,0.9,reference,10,5,Adjusted_minus_Heston,7,512,-0.1447167928576738
63,0.9,kappa_minus20,0,1,Heston_minus_BS,0,512,0.16409587861015745
63,0.9,kappa_minus20,0,1,Heston_minus_BS,1,512,0.14532305196692402
