contract,maturity_days,strike_over_forward,strike,initial_endowment
d63_m0.9,63,0.9,90.90451503757511,11.441451054312408
d63_m1.0,63,1.0,101.00501670841679,4.618403328845416
d63_m1.1,63,1.1,111.10551837925848,1.0954393963860345
d252_m0.9,252,0.9,93.67296967731494,15.875639383399152
d252_m1.0,252,1.0,104.08107741923882,10.08972172921414
d252_m1.1,252,1.1,114.48918516116272,5.878746739863324
