maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,difference,se,ci95_low,ci95_high,sim95_low,sim95_high,n_paths,first_half_difference,refinement_shift,refinement_se,refinement_margin,expanded_low,expanded_high,supported_sign
63,0.9,reference,0,1,Heston_minus_BS,0.1316734490806098,0.0078142037148429,0.1163533630759004,0.1469935350853192,0.1007521080736332,0.1625947900875864,4096,0.1465445972280381,-0.0006719196853406704,0.0006219067950126022,0.0018908570035653708,0.09886125107006784,0.16448564709115177,positive
63,0.9,reference,0,1,Adjusted_minus_Heston,-0.1528159072907241,0.0125304011000357,-0.1773823032449804,-0.1282495113364677,-0.202399565396851,-0.1032322491845971,4096,-0.1767530046868685,0.001087707737389624,0.0010712872378140761,0.003187430723505213,-0.20558699612035622,-0.10004481846109188,negative
63,0.9,reference,0,5,Heston_minus_BS,0.1565591466065142,0.0129588561272972,0.1311527459497534,0.181965547263275,0.1052800625187302,0.2078382306942982,4096,0.1777961264985386,-0.000446466225739894,0.0009051600556002667,0.002220579934716417,0.10305948258401379,0.2100588106290146,positive
63,0.9,reference,0,5,Adjusted_minus_Heston,-0.1885756891436943,0.0214053164134265,-0.2305417422923742,-0.1466096359950143,-0.2732779969328504,-0.1038733813545381,4096,-0.2234431444124245,0.0007367407930178698,0.001600662361018636,0.0038740390206143966,-0.27715203595346477,-0.0999993423339237,negative
63,0.9,reference,5,1,Heston_minus_BS,0.132400710294781,0.0083416545192356,0.1160465340639363,0.1487548865256256,0.0993922102141229,0.165409210375439,4096,0.1509748553934411,-0.0006600277465452686,0.0006314427624111674,0.0018976555608711566,0.09749455465325174,0.16730686593631014,positive
63,0.9,reference,5,1,Adjusted_minus_Heston,-0.151306190436709,0.0132773761408727,-0.1773370634236355,-0.1252753174497825,-0.2038456801034524,-0.0987667007699655,4096,-0.1814984636484158,0.001056910698511685,0.0010749189692302224,0.0031637518782029208,-0.2070094319816553,-0.09560294889176257,negative
63,0.9,reference,5,5,Heston_minus_BS,0.1492901399401308,0.0133836097323733,0.1230509913799315,0.1755292885003302,0.0963302766525988,0.2022500032276629,4096,0.1731059508450051,-0.00042355392923766155,0.0009081132148953774,0.002203455830432601,0.0941268208221662,0.2044534590580955,positive
63,0.9,reference,5,5,Adjusted_minus_Heston,-0.1740992168330305,0.022078355648011,-0.2173847926528168,-0.1308136410132441,-0.2614647871173955,-0.0867336465486655,4096,-0.213341925026371,0.0006865072702714734,0.001599285589501333,0.003821107025694086,-0.2652858941430896,-0.08291253952297141,negative
63,0.9,reference,10,1,Heston_minus_BS,0.1314605783744521,0.0090296549547079,0.1137575473879153,0.149163609360989,0.0957296132987007,0.1671915434502036,4096,0.1537967967830969,-0.000654933669598186,0.0006507141708148399,0.001930333444395272,0.09379927985430542,0.16912187689459887,positive
63,0.9,reference,10,1,Adjusted_minus_Heston,-0.1467593453108319,0.0143397365448429,-0.174873022042164,-0.1186456685794999,-0.2035026680899727,-0.0900160225316911,4096,-0.1832953822467062,0.0010385478889265965,0.0010959734969950155,0.0031866559430368266,-0.20668932403300952,-0.08682936658865427,negative
63,0.9,reference,10,5,Heston_minus_BS,0.1418242713756609,0.0138597451739223,0.1146516385884551,0.1689969041628667,0.086980307431055,0.1966682353202668,4096,0.168236713337279,-0.00040158859063364944,0.0009130575648677315,0.002191181417774403,0.0847891260132806,0.19885941673804122,positive
63,0.9,reference,10,5,Adjusted_minus_Heston,-0.1592180718408304,0.0228448770949925,-0.2040064462720613,-0.1144296974095996,-0.2496168201579429,-0.0688193235237179,4096,-0.2028635173282278,0.0006380592016715962,0.0016012529090007372,0.0037765149033130406,-0.25339333506125594,-0.06504280862040486,negative
63,0.9,kappa_minus20,0,1,Heston_minus_BS,0.1465917886695639,0.0083224622883401,0.1302752396415245,0.1629083376976032,0.1136592335652411,0.1795243437738867,4096,0.162387249721004,-0.0007287868308802322,0.0006688601233526843,0.0020397526726514932,0.1116194808925896,0.1815640964465382,positive
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,-0.1658343879215879,0.0131062859784448,-0.1915298312091356,-0.1401389446340402,-0.2176968620601436,-0.1139719137830322,4096,-0.1910454003527268,0.0011447696318406457,0.0011168363534987747,0.003333768884698244,-0.22103063094484185,-0.11063814489833396,negative
63,0.9,kappa_minus20,0,5,Heston_minus_BS,0.1750323563065581,0.0137917724314524,0.1479929870352032,0.202071725577913,0.1204573651742554,0.2296073474388608,4096,0.1974684966829592,-0.000481962815381402,0.0009702638727224735,0.0023836800059174497,0.11807368516833795,0.23199102744477826,positive
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,-0.2050298151397058,0.0223980975107432,-0.2489422587780337,-0.161117371501378,-0.2936606259440955,-0.1163990043353162,4096,-0.2416581586887185,0.0007429251798531125,0.0016758414586350461,0.004027574438777803,-0.2976882003828733,-0.11237142989653841,negative
63,0.9,kappa_minus20,5,1,Heston_minus_BS,0.1474655894288138,0.0088581393809575,0.130098822179043,0.1648323566785847,0.1124133232630833,0.1825178555945444,4096,0.1672224261918598,-0.0007172311183874403,0.0006782848062301193,0.002046669338598474,0.11036665392448483,0.18456452493314288,positive
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,-0.1645692228364497,0.0138879685053836,-0.1917971886916308,-0.1373412569812687,-0.2195248684428492,-0.1096135772300503,4096,-0.1963776183819767,0.0011131791636852038,0.0011222707615017992,0.00331282985622873,-0.22283769829907796,-0.10630074737382157,negative
63,0.9,kappa_minus20,5,5,Heston_minus_BS,0.1673142920624888,0.0142362260570891,0.139403552141182,0.1952250319837957,0.1109805673955081,0.2236480167294696,4096,0.1925431893726509,-0.00046164984439190585,0.0009735336730940084,0.0023697758436561625,0.10861079155185194,0.22601779257312576,positive
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,-0.190128329428842,0.023105238807886,-0.2354271543140693,-0.1448295045436147,-0.2815573469331076,-0.0986993119245764,4096,-0.2313605055045515,0.0006906592273295193,0.0016744930415994964,0.003972665588864532,-0.28553001252197213,-0.09472664633571187,negative
63,0.9,kappa_minus20,10,1,Heston_minus_BS,0.1468629382179511,0.0095703667285898,0.1280998182982456,0.1656260581376565,0.1089923395010991,0.184733536934803,4096,0.1706460420205791,-0.0007121183529503676,0.0006980979916657594,0.002080390416615256,0.10691194908448384,0.18681392735141825,positive
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,-0.1601304480463451,0.0150011778685064,-0.1895409092403531,-0.1307199868523371,-0.2194911395902973,-0.1007697565023929,4096,-0.1986282968022972,0.0010940221605067013,0.0011461080632762233,0.003340393964528099,-0.2228315335548254,-0.0974293625378648,negative
