maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,mse,mean_error,error_variance,mean_fees,top1pct_loss_share,max_abs_error,n_paths
63,0.9,reference,0,1,BS,0.5529334848903822,0.22739069854834393,0.5012269551040784,0.0,0.1291039455565815,4.130730892239171,4096
63,0.9,reference,0,1,Heston,0.684606933970992,0.25821400927045957,0.6179324593874671,0.0,0.1357756192801342,4.335601325207747,4096
63,0.9,reference,0,1,Adjusted,0.5317910266802679,0.20301790918675444,0.49057475522970667,0.0,0.12548255584398607,4.058583123972724,4096
63,0.9,reference,0,5,BS,1.1002335401980465,0.21159318707998792,1.0554618633793797,0.0,0.18344314983542825,8.529500009917356,4096
63,0.9,reference,0,5,Heston,1.2567926868045607,0.24438816144401843,1.197067113350573,0.0,0.18982732134050737,8.944627332552457,4096
63,0.9,reference,0,5,Adjusted,1.0682169976608664,0.18542927453997365,1.0338329818044456,0.0,0.17013474147148008,8.337248972219314,4096
63,0.9,reference,5,1,BS,0.5176673591013243,0.07037303169735257,0.5127149955110478,0.1562422675304002,0.15665423023405176,4.413366489669642,4096
63,0.9,reference,5,1,Heston,0.6500680693961054,0.10388704310745087,0.639275551670496,0.15356238312056456,0.16043107039555618,4.618828792339244,4096
63,0.9,reference,5,1,Adjusted,0.49876187895939633,0.04397797820071994,0.4968278163927733,0.15825720385461484,0.14732422069494422,4.342373898504533,4096
63,0.9,reference,5,5,BS,1.070240362298104,0.09333350785674566,1.0615292186092589,0.1176935549963169,0.19942163819420214,8.726857921232863,4096
63,0.9,reference,5,5,Heston,1.2195305022382348,0.12649378947843787,1.2035298234616194,0.11732367885121193,0.20560211493608124,9.14430235576819,4096
63,0.9,reference,5,5,Adjusted,1.0454312854052044,0.06680543481151266,1.0409683192848491,0.11806066884613683,0.18452951375902907,8.533851465470377,4096
63,0.9,reference,10,1,BS,0.53440032672548,-0.08664463515363584,0.5268930339245733,0.3124845350608004,0.1739208947621533,4.696002087100069,4096
63,0.9,reference,10,1,Heston,0.6658609050999321,-0.050439923055558264,0.6633167192620816,0.3071247662411291,0.17567091891636752,4.90205625947074,4096
63,0.9,reference,10,1,Adjusted,0.5191015597891002,-0.11506195278531606,0.5058623068103298,0.3165144077092297,0.16193908512127542,4.626164673036314,4096
63,0.9,reference,10,5,BS,1.0687544351290317,-0.02492617136649667,1.0681331211100398,0.2353871099926338,0.2109606392254689,8.924215832548327,4096
63,0.9,reference,10,5,Heston,1.2105787065046927,0.008599417512826559,1.2105047565231328,0.23464735770242387,0.21753211766351235,9.343977378983865,4096
63,0.9,reference,10,5,Adjusted,1.0513606346638622,-0.05181840491694867,1.0486754875757254,0.23612133769227367,0.1948472092265086,8.730453958721398,4096
63,0.9,kappa_minus20,0,1,BS,0.5529334848903822,0.22739069854834393,0.5012269551040784,0.0,0.1291039455565815,4.130730892239171,4096
63,0.9,kappa_minus20,0,1,Heston,0.6995252735599461,0.26112522557185136,0.6313388901299958,0.0,0.13533061595334017,4.325877500930389,4096
63,0.9,kappa_minus20,0,1,Adjusted,0.5336908856383581,0.2037792645788365,0.4921648969660667,0.0,0.12462499433429287,4.0258032129739405,4096
63,0.9,kappa_minus20,0,5,BS,1.1002335401980465,0.21159318707998792,1.0554618633793797,0.0,0.18344314983542825,8.529500009917356,4096
63,0.9,kappa_minus20,0,5,Heston,1.2752658965046046,0.2474556670000758,1.214031589374152,0.0,0.1888648645247476,8.959019673894446,4096
63,0.9,kappa_minus20,0,5,Adjusted,1.0702360813648988,0.18607423729260708,1.0356124595808733,0.0,0.16961852866005708,8.305920925609044,4096
63,0.9,kappa_minus20,5,1,BS,0.5176673591013243,0.07037303169735257,0.5127149955110478,0.1562422675304002,0.15665423023405176,4.413366489669642,4096
63,0.9,kappa_minus20,5,1,Heston,0.6651329485301383,0.10653220909213545,0.6537838369560878,0.15382585260372517,0.15940354823968517,4.608856829850197,4096
63,0.9,kappa_minus20,5,1,Adjusted,0.5005637256936885,0.0442673922948603,0.49860412367310136,0.15872560923578394,0.14641085960498496,4.309217480762655,4096
63,0.9,kappa_minus20,5,5,BS,1.070240362298104,0.09333350785674566,1.0615292186092589,0.1176935549963169,0.19942163819420214,8.726857921232863,4096
63,0.9,kappa_minus20,5,5,Heston,1.2375546543605929,0.1293894307352405,1.2208130295746034,0.11749364819838526,0.2045114676379883,9.158829609323632,4096
63,0.9,kappa_minus20,5,5,Adjusted,1.0474263249317508,0.06727642525905217,1.042900207536114,0.11823330737732618,0.1839523373213343,8.502468825939232,4096
63,0.9,kappa_minus20,10,1,BS,0.53440032672548,-0.08664463515363584,0.5268930339245733,0.3124845350608004,0.1739208947621533,4.696002087100069,4096
63,0.9,kappa_minus20,10,1,Heston,0.6812632649434309,-0.04806080738756713,0.6789534237366862,0.30765170520745033,0.17417537588220497,4.891836158770076,4096
63,0.9,kappa_minus20,10,1,Adjusted,0.5211328168970859,-0.11524447998908618,0.5078515267291309,0.3174512184715679,0.16097705639394916,4.592631748551327,4096
63,0.9,kappa_minus20,10,5,BS,1.0687544351290317,-0.02492617136649667,1.0681331211100398,0.2353871099926338,0.2109606392254689,8.924215832548327,4096
63,0.9,kappa_minus20,10,5,Heston,1.2282391305459015,0.011323194470434731,1.2281109158128865,0.23498729639677052,0.21630419169035556,9.358639544752819,4096
63,0.9,kappa_minus20,10,5,Adjusted,1.0534196878048472,-0.05152138677448777,1.0507652345096807,0.23646661475465236,0.19426098346040951,8.69901672626942,4096
63,0.9,kappa_plus20,0,1,BS,0.5529334848903822,0.22739069854834393,0.5012269551040784,0.0,0.1291039455565815,4.130730892239171,4096
63,0.9,kappa_plus20,0,1,Heston,0.6716248581233816,0.25550993530840815,0.6063395310820746,0.0,0.13610494095855083,4.3455415351321705,4096
63,0.9,kappa_plus20,0,1,Adjusted,0.530269612487422,0.2023706709061575,0.4893157240444137,0.0,0.12639722625067146,4.090048759846226,4096
63,0.9,kappa_plus20,0,5,BS,1.1002335401980465,0.21159318707998792,1.0554618633793797,0.0,0.18344314983542825,8.529500009917356,4096
63,0.9,kappa_plus20,0,5,Heston,1.2406798651361415,0.24154919631582103,1.1823338508953225,0.0,0.19063642943602285,8.932524938331724,4096
63,0.9,kappa_plus20,0,5,Adjusted,1.0665992791244023,0.18489397066532923,1.0324134987360107,0.0,0.17062570281569464,8.367556080633292,4096
63,0.9,kappa_plus20,5,1,BS,0.5176673591013243,0.07037303169735257,0.5127149955110478,0.1562422675304002,0.15665423023405176,4.413366489669642,4096
63,0.9,kappa_plus20,5,1,Heston,0.6369758818143083,0.1014255056494634,0.626688748618059,0.1533222004924053,0.16140838070966296,4.6290350888565115,4096
63,0.9,kappa_plus20,5,1,Adjusted,0.49733465299683904,0.04375844202511518,0.49541985174837366,0.15783267930696054,0.14818608847563217,4.374222713517085,4096
63,0.9,kappa_plus20,5,5,BS,1.070240362298104,0.09333350785674566,1.0615292186092589,0.1176935549963169,0.19942163819420214,8.726857921232863,4096
63,0.9,kappa_plus20,5,5,Heston,1.203848092101838,0.12381034023227326,1.188519091753407,0.11716988799351702,0.2066188227651631,9.132090805050538,4096
63,0.9,kappa_plus20,5,5,Adjusted,1.043826616923014,0.06642614823014928,1.03941418375432,0.11790583510951615,0.18507553379291714,8.564225745336827,4096
63,0.9,kappa_plus20,10,1,BS,0.53440032672548,-0.08664463515363584,0.5268930339245733,0.3124845350608004,0.1739208947621533,4.696002087100069,4096
63,0.9,kappa_plus20,10,1,Heston,0.6524851967146206,-0.05265892400948327,0.649712234436784,0.3066444009848106,0.17699506193228035,4.9125286425808525,4096
63,0.9,kappa_plus20,10,1,Adjusted,0.5174727946647844,-0.1148537868559002,0.5042814023096438,0.3156653586139211,0.16286253221991379,4.658396667187986,4096
63,0.9,kappa_plus20,10,5,BS,1.0687544351290317,-0.02492617136649667,1.0681331211100398,0.2353871099926338,0.2109606392254689,8.924215832548327,4096
63,0.9,kappa_plus20,10,5,Heston,1.195249703803339,0.006071484148739974,1.1952128408835707,0.23433977598703404,0.21861473819082977,9.331656671769352,4096
63,0.9,kappa_plus20,10,5,Adjusted,1.0496901390406335,-0.052041674205032376,1.0469818031865707,0.2358116702190323,0.1953981556493363,8.760895410040291,4096
63,0.9,theta_minus20,0,1,BS,0.5529334848903822,0.22739069854834393,0.5012269551040784,0.0,0.1291039455565815,4.130730892239171,4096
63,0.9,theta_minus20,0,1,Heston,0.7126092684593053,0.2641956425299188,0.6428099309275087,0.0,0.1346032769951437,4.4053364937032455,4096
63,0.9,theta_minus20,0,1,Adjusted,0.5287742321844364,0.2090944717615137,0.48505373406320995,0.0,0.1276189315529843,4.124825817853917,4096
63,0.9,theta_minus20,0,5,BS,1.1002335401980465,0.21159318707998792,1.0554618633793797,0.0,0.18344314983542825,8.529500009917356,4096
63,0.9,theta_minus20,0,5,Heston,1.292415396976791,0.2505618792219296,1.2296341416575662,0.0,0.18894769234791312,9.059978784769243,4096
63,0.9,theta_minus20,0,5,Adjusted,1.068379782928917,0.19160912279589684,1.0316657269903038,0.0,0.17472388001363165,8.433581579279263,4096
63,0.9,theta_minus20,5,1,BS,0.5176673591013243,0.07037303169735257,0.5127149955110478,0.1562422675304002,0.15665423023405176,4.413366489669642,4096
63,0.9,theta_minus20,5,1,Heston,0.6793721041446503,0.10942856437628976,0.6673974934431945,0.1539979474900064,0.15875282067303137,4.69044494855892,4096
63,0.9,theta_minus20,5,1,Adjusted,0.49642950728790236,0.04934443940492468,0.49399463358771606,0.15896070833645876,0.15208283058624336,4.410643507934921,4096
63,0.9,theta_minus20,5,5,BS,1.070240362298104,0.09333350785674566,1.0615292186092589,0.1176935549963169,0.19942163819420214,8.726857921232863,4096
63,0.9,theta_minus20,5,5,Heston,1.254668740614529,0.1323335187658708,1.237156580425572,0.1176538795203094,0.20462687542382613,9.26097928360224,4096
63,0.9,theta_minus20,5,5,Adjusted,1.0448299159041547,0.07256201133553741,1.0395646704150963,0.11847950004889325,0.18983455922624948,8.631503582939345,4096
63,0.9,theta_minus20,10,1,BS,0.53440032672548,-0.08664463515363584,0.5268930339245733,0.3124845350608004,0.1739208947621533,4.696002087100069,4096
63,0.9,theta_minus20,10,1,Heston,0.6968323493691574,-0.045338513777323175,0.6947767685376208,0.3079958949800128,0.17339643848161262,4.975553403414466,4096
63,0.9,theta_minus20,10,1,Adjusted,0.518006902028542,-0.1104055929516693,0.5058175070735325,0.3179214166729175,0.16776653188022925,4.696461198015925,4096
63,0.9,theta_minus20,10,5,BS,1.0687544351290317,-0.02492617136649667,1.0681331211100398,0.2353871099926338,0.2109606392254689,8.924215832548327,4096
63,0.9,theta_minus20,10,5,Heston,1.2454034699975791,0.014105158309826865,1.245204514506634,0.2353077590406188,0.21651238796369035,9.461979782435236,4096
63,0.9,theta_minus20,10,5,Adjusted,1.0502107047827245,-0.046485100124793094,1.0480498402491127,0.2369590000977865,0.20051214394599526,8.829425586599413,4096
63,0.9,theta_plus20,0,1,BS,0.5529334848903822,0.22739069854834393,0.5012269551040784,0.0,0.1291039455565815,4.130730892239171,4096
63,0.9,theta_plus20,0,1,Heston,0.6618378179227946,0.2524779506306152,0.598092702368159,0.0,0.1363907548518053,4.268924252820753,4096
63,0.9,theta_plus20,0,1,Adjusted,0.5381769280652027,0.19725859365535384,0.4992659752943146,0.0,0.12331596365369459,3.9955954471919455,4096
63,0.9,theta_plus20,0,5,BS,1.1002335401980465,0.21159318707998792,1.0554618633793797,0.0,0.18344314983542825,8.529500009917356,4096
63,0.9,theta_plus20,0,5,Heston,1.2274639119740756,0.23848738570560374,1.170587678833382,0.0,0.1900972601914185,8.835704169929812,4096
