maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,difference,se,ci95_low,ci95_high,sim95_low,sim95_high,n_paths,first_half_difference
63,0.9,reference,0,1,Heston_minus_BS,0.13167344908060985,0.007814203714842956,0.11635336307590047,0.14699353508531923,0.10075210807363326,0.16259479008758645,4096,0.14654459722803817
63,0.9,reference,0,1,Adjusted_minus_Heston,-0.1528159072907241,0.012530401100035752,-0.17738230324498044,-0.12824951133646778,-0.20239956539685106,-0.10323224918459717,4096,-0.1767530046868685
63,0.9,reference,0,5,Heston_minus_BS,0.15655914660651424,0.012958856127297243,0.1311527459497534,0.18196554726327507,0.10528006251873023,0.20783823069429824,4096,0.17779612649853865
63,0.9,reference,0,5,Adjusted_minus_Heston,-0.1885756891436943,0.02140531641342654,-0.23054174229237429,-0.1466096359950143,-0.27327799693285043,-0.10387338135453818,4096,-0.22344314441242458
63,0.9,reference,5,1,Heston_minus_BS,0.132400710294781,0.008341654519235627,0.11604653406393636,0.14875488652562566,0.09939221021412295,0.16540921037543907,4096,0.15097485539344113
63,0.9,reference,5,1,Adjusted_minus_Heston,-0.151306190436709,0.013277376140872705,-0.1773370634236355,-0.12527531744978251,-0.20384568010345247,-0.09876670076996555,4096,-0.18149846364841582
63,0.9,reference,5,5,Heston_minus_BS,0.14929013994013088,0.013383609732373378,0.12305099137993156,0.1755292885003302,0.09633027665259883,0.20225000322766293,4096,0.17310595084500513
63,0.9,reference,5,5,Adjusted_minus_Heston,-0.1740992168330305,0.02207835564801108,-0.21738479265281688,-0.13081364101324414,-0.2614647871173955,-0.08673364654866551,4096,-0.213341925026371
63,0.9,reference,10,1,Heston_minus_BS,0.13146057837445219,0.009029654954707974,0.11375754738791531,0.14916360936098905,0.09572961329870072,0.16719154345020365,4096,0.15379679678309693
63,0.9,reference,10,1,Adjusted_minus_Heston,-0.14675934531083196,0.014339736544842998,-0.174873022042164,-0.1186456685794999,-0.20350266808997272,-0.09001602253169119,4096,-0.18329538224670627
63,0.9,reference,10,5,Heston_minus_BS,0.14182427137566095,0.013859745173922388,0.11465163858845517,0.16899690416286672,0.08698030743105509,0.1966682353202668,4096,0.16823671333727902
63,0.9,reference,10,5,Adjusted_minus_Heston,-0.15921807184083048,0.022844877094992562,-0.20400644627206135,-0.1144296974095996,-0.24961682015794295,-0.06881932352371799,4096,-0.2028635173282278
63,0.9,kappa_minus20,0,1,Heston_minus_BS,0.1465917886695639,0.008322462288340186,0.13027523964152457,0.16290833769760324,0.1136592335652411,0.1795243437738867,4096,0.16238724972100407
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,-0.16583438792158794,0.013106285978444838,-0.19152983120913564,-0.14013894463404025,-0.21769686206014366,-0.11397191378303223,4096,-0.1910454003527268
63,0.9,kappa_minus20,0,5,Heston_minus_BS,0.1750323563065581,0.013791772431452494,0.1479929870352032,0.20207172557791303,0.1204573651742554,0.22960734743886083,4096,0.1974684966829592
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,-0.20502981513970586,0.022398097510743214,-0.2489422587780337,-0.16111737150137803,-0.2936606259440955,-0.11639900433531625,4096,-0.2416581586887185
63,0.9,kappa_minus20,5,1,Heston_minus_BS,0.14746558942881388,0.008858139380957511,0.13009882217904303,0.16483235667858473,0.11241332326308333,0.18251785559454442,4096,0.16722242619185987
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,-0.16456922283644979,0.01388796850538368,-0.19179718869163087,-0.1373412569812687,-0.21952486844284927,-0.1096135772300503,4096,-0.1963776183819767
63,0.9,kappa_minus20,5,5,Heston_minus_BS,0.16731429206248888,0.014236226057089197,0.13940355214118205,0.1952250319837957,0.11098056739550817,0.2236480167294696,4096,0.19254318937265097
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,-0.19012832942884203,0.023105238807886053,-0.2354271543140693,-0.14482950454361476,-0.28155734693310763,-0.09869931192457641,4096,-0.2313605055045515
63,0.9,kappa_minus20,10,1,Heston_minus_BS,0.1468629382179511,0.009570366728589892,0.12809981829824563,0.16562605813765657,0.10899233950109918,0.18473353693480302,4096,0.17064604202057915
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,-0.16013044804634513,0.015001177868506457,-0.18954090924035313,-0.13071998685233713,-0.21949113959029737,-0.1007697565023929,4096,-0.19862829680229727
63,0.9,kappa_minus20,10,5,Heston_minus_BS,0.15948469541687,0.014737460489701875,0.13059126360572137,0.1883781272280186,0.10116755166064603,0.21780183917309395,4096,0.1875257931378003
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,-0.1748194427410546,0.023910786950089444,-0.22169757976989135,-0.12794130571221785,-0.2694360695925521,-0.08020281588955709,4096,-0.2206835541947924
63,0.9,kappa_plus20,0,1,Heston_minus_BS,0.11869137323299934,0.007360254029090322,0.10426127531681792,0.13312147114918077,0.08956634232304575,0.14781640414295294,4096,0.13273781804415274
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,-0.14135524563595955,0.01199519352515419,-0.16487234387841157,-0.11783814739350752,-0.18882105059461934,-0.09388944067729978,4096,-0.1641298898765404
63,0.9,kappa_plus20,0,5,Heston_minus_BS,0.14044632493809486,0.012213483728226636,0.11650125926516709,0.16439139061102265,0.09211673064734177,0.18877591922884795,4096,0.16061424120054466
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,-0.17408058601173923,0.0204838462128073,-0.21424005678306854,-0.13392111524040992,-0.25513657290360514,-0.09302459911987332,4096,-0.2073410881159503
63,0.9,kappa_plus20,5,1,Heston_minus_BS,0.11930852271298398,0.007881042924544307,0.1038573955326822,0.13475964989328576,0.08812269436075344,0.15049435106521453,4096,0.13682237491033306
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,-0.13964122881746927,0.012711095984948927,-0.16456188494697835,-0.11472057268796018,-0.1899399089985907,-0.08934254863634784,4096,-0.16835459559398774
63,0.9,kappa_plus20,5,5,Heston_minus_BS,0.13360772980373403,0.012621117978831153,0.10886347946585259,0.15835198014161547,0.0836650987751335,0.18355036083233456,4096,0.15615871309445345
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,-0.1600214751788242,0.021125804647372327,-0.20143953336198456,-0.11860341699566385,-0.24361773570468626,-0.07642521465296216,4096,-0.197444056902175
63,0.9,kappa_plus20,10,1,Heston_minus_BS,0.11808486998914067,0.008548323804731821,0.1013255096417981,0.13484423033648324,0.08425856534570196,0.15191117463257936,4096,0.13912020496594718
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,-0.13501240204983628,0.01372731500600128,-0.16192539973713857,-0.108099404362534,-0.18933233072081324,-0.08069247337885932,4096,-0.1697493718793665
63,0.9,kappa_plus20,10,5,Heston_minus_BS,0.12649526867430727,0.01307546067412091,0.10086025973561932,0.15213027761299522,0.074754772382942,0.17823576496567256,4096,0.1514458013097546
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,-0.14555956476270557,0.021856646456238957,-0.18841047007607403,-0.10270865944933712,-0.2320478165417768,-0.05907131298363434,4096,-0.18717109693447226
63,0.9,theta_minus20,0,1,Heston_minus_BS,0.15967578356892312,0.008655885846082923,0.14270554316463874,0.1766460239732075,0.12542384853736102,0.19392771860048522,4096,0.17574232098816545
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,-0.1838350362748689,0.012721339428322835,-0.20877577512031417,-0.15889429742942365,-0.23417425046523924,-0.1334958220844986,4096,-0.2088792170031165
63,0.9,theta_minus20,0,5,Heston_minus_BS,0.19218185677874444,0.014384561182802296,0.16398029939651995,0.22038341416096893,0.1352611598273357,0.2491025537301532,4096,0.21501196166213454
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,-0.22403561404787398,0.02179875057735864,-0.26677301197442066,-0.1812982161213273,-0.31029476785623883,-0.13777646023950912,4096,-0.26021012049464254
63,0.9,theta_minus20,5,1,Heston_minus_BS,0.16170474504332596,0.009219946874216503,0.1436286384781048,0.17978085160854712,0.12522078176728205,0.19818870831936988,4096,0.18209011410049397
63,0.9,theta_minus20,5,1,Adjusted_minus_Heston,-0.18294259685674796,0.013532612509563372,-0.20947387183760294,-0.156411321875893,-0.2364920743714759,-0.12939311934202002,4096,-0.21439296308309588
63,0.9,theta_minus20,5,5,Heston_minus_BS,0.18442837831642503,0.014859564599976598,0.15529555609018086,0.2135612005426692,0.12562806020617362,0.24322869642667644,4096,0.21031298357932837
63,0.9,theta_minus20,5,5,Adjusted_minus_Heston,-0.20983882471037432,0.022504105827275193,-0.2539591022606079,-0.16571854716014073,-0.298889117707023,-0.1207885317137257,4096,-0.2504766627450946
63,0.9,theta_minus20,10,1,Heston_minus_BS,0.1624320226436774,0.009990031320355194,0.14284613205230856,0.18201791323504624,0.12290078230241024,0.20196326298494455,4096,0.18721663424825677
63,0.9,theta_minus20,10,1,Adjusted_minus_Heston,-0.17882544734061528,0.014659076758181264,-0.2075652044393956,-0.15008569024183496,-0.23683242128553214,-0.12081847339569843,4096,-0.21677263068846592
63,0.9,theta_minus20,10,5,Heston_minus_BS,0.17664903486854755,0.015401164543624349,0.14645438241370715,0.20684368732338795,0.1157055685684069,0.23759250116868819,4096,0.20561164983059838
63,0.9,theta_minus20,10,5,Adjusted_minus_Heston,-0.19519276521485457,0.023303191202061358,-0.24087968437229068,-0.14950584605741846,-0.2874050939440138,-0.10298043648569531,4096,-0.2403212433824358
63,0.9,theta_plus20,0,1,Heston_minus_BS,0.1089043330324123,0.007106406816004088,0.09497191361022123,0.12283675245460338,0.08078379298626873,0.13702487307855588,4096,0.12280347507308426
63,0.9,theta_plus20,0,1,Adjusted_minus_Heston,-0.12366088985759191,0.012371054691600424,-0.1479148802525801,-0.09940689946260373,-0.172614003276983,-0.07470777643820083,4096,-0.14662347565421885
63,0.9,theta_plus20,0,5,Heston_minus_BS,0.1272303717760288,0.01177011157799777,0.10415455647351267,0.15030618707854496,0.08065523154745763,0.17380551200459998,4096,0.14716674835465157
63,0.9,theta_plus20,0,5,Adjusted_minus_Heston,-0.15533139439188348,0.021053936029578068,-0.19660855102629662,-0.11405423775747034,-0.23864326585910156,-0.07201952292466542,4096,-0.1890304561206458
63,0.9,theta_plus20,5,1,Heston_minus_BS,0.108525207612887,0.007605843203961326,0.09361362144554791,0.1234367937802261,0.07842836346374389,0.13862205176203013,4096,0.1255599011134203
63,0.9,theta_plus20,5,1,Adjusted_minus_Heston,-0.12157945271737483,0.013061892589088275,-0.14718786083565874,-0.09597104459909093,-0.17326625916401428,-0.06989264627073537,4096,-0.15065434750466036
63,0.9,theta_plus20,5,5,Heston_minus_BS,0.12049504894601419,0.012155736224101266,0.09666319976475243,0.14432689812727595,0.07239396549686747,0.1685961323951609,4096,0.14256918834738333
63,0.9,theta_plus20,5,5,Adjusted_minus_Heston,-0.14060598215200867,0.021698267788438117,-0.18314637920368293,-0.09806558510033442,-0.2264675186605274,-0.05474444564348997,4096,-0.17859455002680558
63,0.9,theta_plus20,10,1,Heston_minus_BS,0.10611560457211228,0.008226855279067165,0.0899864972410348,0.12224471190318975,0.07356137297255974,0.1386698361716648,4096,0.1263252934171534
63,0.9,theta_plus20,10,1,Adjusted_minus_Heston,-0.11662884940603185,0.014066730297722223,-0.14420728552445686,-0.08905041328760685,-0.17229186770728686,-0.06096583110477685,4096,-0.151902172119995
63,0.9,theta_plus20,10,5,Heston_minus_BS,0.11339840768853064,0.012579851306464015,0.08873506245536152,0.13806175292169975,0.06361907171788511,0.16317774365917617,4096,0.13762288028945235
63,0.9,theta_plus20,10,5,Adjusted_minus_Heston,-0.12551412147703028,0.02243553771763874,-0.16949996826820707,-0.08152827468585348,-0.2142930857525905,-0.03673515720147005,4096,-0.1678198122085257
63,0.9,xi_minus20,0,1,Heston_minus_BS,0.1075281261210036,0.006545896974999221,0.09469461060304138,0.12036164163896582,0.08162556202787447,0.13343069021413273,4096,0.11954513580354016
63,0.9,xi_minus20,0,1,Adjusted_minus_Heston,-0.12951579078012215,0.010156240885131554,-0.14942754244705297,-0.10960403911319133,-0.16970473378932832,-0.089326847770916,4096,-0.14859551642404262
63,0.9,xi_minus20,0,5,Heston_minus_BS,0.127454729772267,0.01092594228944174,0.10603394504934108,0.1488755144951929,0.08422002542067147,0.1706894341238625,4096,0.1452754299953389
63,0.9,xi_minus20,0,5,Adjusted_minus_Heston,-0.1583110013311866,0.017288678815960978,-0.19220620755229068,-0.12441579511008255,-0.22672349129647612,-0.0898985113658971,4096,-0.1862912917847852
63,0.9,xi_minus20,5,1,Heston_minus_BS,0.10767575253343138,0.006952109026372737,0.09404584063391966,0.1213056644329431,0.08016577944252998,0.1351857256243328,4096,0.1226490597361983
63,0.9,xi_minus20,5,1,Adjusted_minus_Heston,-0.12831876219213129,0.010752819028669211,-0.14940013123801094,-0.10723739314625165,-0.17086840590569674,-0.08576911847856582,4096,-0.15241345356169592
63,0.9,xi_minus20,5,5,Heston_minus_BS,0.12064565626696103,0.011265522714215397,0.09855910936238553,0.1427322031715365,0.07606720884225172,0.16522410369167034,4096,0.14056520451583737
63,0.9,xi_minus20,5,5,Adjusted_minus_Heston,-0.14681164160966653,0.017825442637364124,-0.18175919663151824,-0.11186408658781484,-0.21734814289683752,-0.07627514032249556,4096,-0.17830540759796532
63,0.9,xi_minus20,10,1,Heston_minus_BS,0.106776673010272,0.0074980027115682515,0.09207651281524458,0.12147683320529941,0.0771065610991575,0.13644678492138648,4096,0.12474414228146506
63,0.9,xi_minus20,10,1,Adjusted_minus_Heston,-0.1245839077996538,0.011599832229720622,-0.1473258830391733,-0.1018419325601343,-0.17048524094734196,-0.07868257465196563,4096,-0.15376539097363814
63,0.9,xi_minus20,10,5,Heston_minus_BS,0.1137813068045897,0.01165025019083165,0.09094048496104119,0.1366221286481382,0.06768046632060963,0.15988214728856975,4096,0.13581134455601276
63,0.9,xi_minus20,10,5,Adjusted_minus_Heston,-0.13496434118203132,0.01843662311195865,-0.1711101420875169,-0.09881854027654574,-0.20791932560086746,-0.062009356763195175,4096,-0.1699937939877325
63,0.9,xi_plus20,0,1,Heston_minus_BS,0.16050484048160985,0.009213130437781453,0.1424420978362763,0.1785675831269434,0.124047850312891,0.19696183065032868,4096,0.1784471059591295
63,0.9,xi_plus20,0,1,Adjusted_minus_Heston,-0.17411938455285303,0.014856378894291974,-0.203245961064645,-0.14499280804106107,-0.23290709660682324,-0.11533167249888282,4096,-0.20299656163134905
63,0.9,xi_plus20,0,5,Heston_minus_BS,0.19109473456421078,0.015200381167837335,0.16129372664406944,0.22089574248435212,0.13094578187771566,0.2512436872507059,4096,0.21597094269436568
63,0.9,xi_plus20,0,5,Adjusted_minus_Heston,-0.21699388985502457,0.025457024315930298,-0.2669034924423265,-0.16708428726772265,-0.3177290842038189,-0.11625869550623025,4096,-0.25874977789536535
63,0.9,xi_plus20,5,1,Heston_minus_BS,0.1620485389819702,0.009876422835195959,0.1426853827634202,0.1814116952005202,0.12296685522242126,0.20113022274151912,4096,0.18448553608635582
63,0.9,xi_plus20,5,1,Adjusted_minus_Heston,-0.1723628860232084,0.015759071350605648,-0.20325923032851967,-0.14146654171789713,-0.23472261415004872,-0.11000315789636808,4096,-0.20873778846065755
63,0.9,xi_plus20,5,5,Heston_minus_BS,0.1834142162358182,0.015720927507663032,0.15259265459240773,0.21423577787922865,0.12120542591633304,0.24562300655530334,4096,0.2113825427745522
63,0.9,xi_plus20,5,5,Adjusted_minus_Heston,-0.19954032459703872,0.026269510060959057,-0.2510428407998121,-0.14803780839426534,-0.30349058086412173,-0.09559006832995569,4096,-0.24653204507210608
63,0.9,xi_plus20,10,1,Heston_minus_BS,0.16134582481003806,0.010724887803564122,0.14031921614492684,0.18237243347514928,0.11890670687334434,0.20378494274673178,4096,0.18835983335200585
63,0.9,xi_plus20,10,1,Adjusted_minus_Heston,-0.1671110420012975,0.017042922085099218,-0.2005244314704417,-0.13369765253215332,-0.23455105569682944,-0.09967102830576556,4096,-0.21108820861375793
