maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,coarse_mse,fine_mse,mse_refinement_shift,mse_refinement_se
63,0.9,theta_minus20,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,theta_minus20,0,5,Heston,1.0825906198828719,1.0841835503984598,0.0015929305155879593,0.003028322785835381
63,0.9,theta_minus20,0,5,Adjusted,0.963515861444876,0.9658826101148477,0.0023667486699716026,0.003643446014599718
63,0.9,theta_minus20,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,theta_minus20,5,1,Heston,0.6985205774024836,0.6984477271989373,-7.285020354625294e-05,0.0015365070953092847
63,0.9,theta_minus20,5,1,Adjusted,0.5553819748626458,0.5564588164552182,0.0010768415925724271,0.0014088095957170864
63,0.9,theta_minus20,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,theta_minus20,5,5,Heston,1.0314532630145696,1.0326162349023111,0.0011629718877414663,0.003026297009105194
63,0.9,theta_minus20,5,5,Adjusted,0.9251295954219231,0.927016214647725,0.0018866192258020472,0.0035354767033354004
63,0.9,theta_minus20,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,theta_minus20,10,1,Heston,0.7216984048913568,0.7212349464252616,-0.0004634584660952215,0.001777534374265126
63,0.9,theta_minus20,10,1,Adjusted,0.578768903585339,0.5794409283264584,0.0006720247411195133,0.0014834770322733556
63,0.9,theta_minus20,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,theta_minus20,10,5,Heston,1.0089545292504662,1.0096899319381893,0.000735402687722917,0.0030610313861071906
63,0.9,theta_minus20,10,5,Adjusted,0.9158234040151999,0.9172342414216934,0.0014108374064933991,0.0034552143974339333
63,0.9,theta_plus20,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,theta_plus20,0,1,Heston,0.6774844672016022,0.678129932887007,0.0006454656854048009,0.0012922046713267853
