day,stock,variance,BS,Heston,Adjusted
0,100.0,0.0483,0.5230920166442279,0.573865852654722,0.4798266421086347
1,100.92780253957949,0.041619777401791465,0.5546031469986562,0.6068439556651469,0.5102926699513264
2,101.99705201605586,0.03918327820196096,0.5919684720358215,0.6442458194396214,0.548732292636993
3,101.59852678384283,0.031227969441839466,0.5802247306068773,0.6345120908273199,0.5324975966123825
4,102.9424421298094,0.04003206422905588,0.6234047508220816,0.6743445639637461,0.5825019372547842
5,103.92341863059141,0.0313734098457796,0.6623375601899144,0.713557879860594,0.6203079061101647
6,104.96383384130615,0.02728811553248646,0.7008881264307203,0.7505167953750752,0.6598664549927509
7,105.48595796872137,0.026760362710752935,0.7187091967815524,0.7669215505604802,0.6789818722609714
8,106.50723500839628,0.02431396148159911,0.7534130699128274,0.7988209090139861,0.7156527876447571
9,104.87081076243584,0.03780350059893941,0.6891304380999577,0.736493988800079,0.6521040290286797
10,105.07407346634169,0.035139502505850885,0.699135512959148,0.7463209687345317,0.6618464518455016
11,105.55061081994724,0.028567455164147486,0.7232142487223323,0.7700753869867903,0.6849561619682301
12,105.81098803485473,0.023342549555629376,0.7407297130318535,0.787271650288715,0.7012524626458919
13,106.76726622098408,0.02525808991744599,0.7673681183050751,0.8104659582808413,0.7316932810712767
14,105.42989511404134,0.029277660657204885,0.7225455788303666,0.7688283075561564,0.6847518625037055
15,106.02392117940019,0.025981742781998645,0.7478018225600835,0.7925133688372263,0.7106846290848903
16,105.6935471356527,0.02806633185087613,0.7357732490861938,0.7808981002237482,0.6986962971267564
17,106.51326297333848,0.017968862874790575,0.7821602367221574,0.8250651982414313,0.7437515384975171
18,107.09213782643751,0.015786045344052643,0.8066345071071427,0.8468235581272272,0.7696087557136391
19,107.62536707639305,0.015423423292227628,0.8247761906256138,0.8623368755095359,0.7899167084805927
20,108.9482411766468,0.009205165910081038,0.8763699843998546,0.9065426370558822,0.8442517836383394
21,109.6380185272059,0.007402329653823688,0.8984308775800445,0.9245061129740438,0.868796589989201
22,109.95028100418165,0.0065051480072011395,0.9096659043014925,0.9334681327182675,0.8815204264325098
23,110.78628064772548,0.0060989829196309445,0.926945778125434,0.9469015170231982,0.9024414502903182
24,110.22099490292958,0.008959989265730103,0.9130670720133405,0.9356757124209893,0.8880348797586433
25,111.21247399002122,0.005941740433132366,0.9387533607329944,0.9558943189410563,0.9171381456603939
26,110.5336601482374,0.007499779825734932,0.9280103903327598,0.9474534661513458,0.9051478637399014
27,110.72996487557045,0.007649889631520021,0.9333890140826158,0.9515319478569003,0.9119946809530254
28,110.8217497187191,0.00573615247328651,0.9428502053973019,0.9589611358536159,0.9222257125139308
29,111.64076182437513,0.0027095295031953764,0.9628304941436141,0.9740650027383732,0.9453874129779692
30,111.60056485728703,0.00570247634398277,0.9574352352290063,0.9698308727823737,0.9410380037729501
31,111.41860611963865,0.006118673373115927,0.9572428555206374,0.9696234746675385,0.9411710382714283
32,111.58932068853878,0.007065029804397841,0.9594191123405515,0.9711088176565356,0.9447345566961157
33,112.98032511766725,0.003926284990794715,0.9789940732750986,0.9855960881057807,0.9687520186408508
34,112.25590137986708,0.007446285786107411,0.9696309430457494,0.9785539665771995,0.9583251404356632
35,112.96550258803725,0.00975475836198191,0.973032408854149,0.9808209079246827,0.9638369732789007
36,113.17107626950578,0.011579276275077727,0.9738060262437663,0.9812099144985659,0.9655176257161368
37,113.36331344545057,0.007840730943632093,0.9824737983163473,0.9877853603382681,0.9755943590027373
38,113.50447355520974,0.010714567012457467,0.9812825413102393,0.9867191639141033,0.9749517791261857
39,114.05090867838123,0.0037763857965847527,0.992811151010529,0.9952104496860417,0.988709567844398
40,114.45803710558432,0.00607872080407571,0.9928738112699882,0.9951802644557445,0.9894586477954309
41,114.79080012616464,0.00833294563332466,0.9930486371493268,0.9952280013516185,0.9901490123067809
42,113.51959325542705,0.016307636530333177,0.9831109723762309,0.9876185338755958,0.9785673602445456
43,114.565725156785,0.014638159412437384,0.9905401204468468,0.993198734904757,0.9876947912253482
44,114.6470517451635,0.012822170125047772,0.9933405841656682,0.9952774300957147,0.9911548142784506
45,114.63165384315015,0.005293801872872079,0.9978968539530804,0.9986077845906747,0.9967512696772237
46,115.83824214986355,0.0031125389883400172,0.9994403491741655,0.9996435752398076,0.9990205940956082
47,115.87232308884866,0.004566258444157283,0.9994580018747914,0.9996494710748632,0.9991145933094283
48,115.88487011197176,0.004923430611935032,0.9996101857897746,0.9997474753037139,0.9993700376305574
49,114.86535822734353,0.008872943339112697,0.9990387607487112,0.9993453346174566,0.9986317374920565
50,115.38357339662318,0.00944895681454453,0.9994638612567023,0.9996346957446094,0.9992396403576115
51,116.63147382110958,0.008364674779476425,0.9998733332338516,0.999915524333137,0.9998129514975596
52,115.80693900083838,0.011855568940467659,0.9997695593860301,0.9998402205182646,0.9996841522442123
53,116.88126973725124,0.014087857466116235,0.9999060378199743,0.9999341670749919,0.9998735547488113
54,116.9640538341794,0.010307597974086041,0.9999846167524444,0.9999895926089107,0.9999780329476176
55,116.4383596372818,0.01278757489323869,0.9999851702191119,0.9999896988859706,0.9999797714617708
56,115.24819034475667,0.016724758619606265,0.9999705049115588,0.9999786466080852,0.9999619892406992
57,115.37997371099495,0.01509740422392735,0.9999959342453778,0.9999970967824523,0.999994668025801
58,116.554801907234,0.014978134074882824,0.9999998783003834,0.9999999160445381,0.9999998391374196
59,116.38066284231321,0.014506749915725979,0.9999999959546496,0.9999999971122111,0.9999999946738451
60,115.19534305988381,0.019340755041194216,0.9999999984760419,0.99999999886944,0.9999999980786028
61,116.1738839281324,0.011445549638642775,1.0,1.0000000000044844,1.0000000000051223
62,115.8571278004859,0.013764801433513177,1.0,1.0000000000092935,1.0000000000088536
63,115.01552956433002,0.021465649074301863,0.0,0.0,0.0
